state,Murder per capita,Violent Crime per capita,Property Crime per capita,Undergrad_Grad_Rate,HS_Grad_Rate,STEM_Grad_Percentage,death_rate_Alzheimer's disease,death_rate_Cancer,death_rate_Heart disease,death_rate_Unintentional injuries,death_rate_All causes,death_rate_Influenza and pneumonia,death_rate_Suicide,death_rate_Kidney disease,death_rate_CLRD,death_rate_Diabetes
Virginia,12.523949897852178,382.21163018832,2617.63663336068,67.0%,87.5%,22.0%,22.73684210526316,179.96315789473684,189.1052631578948,36.29473684210527,786.0894736842106,19.063157894736843,11.805263157894736,18.31052631578948,39.51052631578948,21.23684210526316
Idaho,1.7594563126997556,299.74505733011995,1273.0558900221602,47.4%,80.8%,22.0%,26.87894736842105,164.83157894736843,174.54736842105262,45.30526315789474,758.642105263158,16.736842105263158,17.900000000000002,9.189473684210526,47.83157894736842,23.757894736842104
New Hampshire,3.0497187327586923,322.09188525288,1758.57872017164,67.7%,88.4%,21.0%,25.38421052631579,179.8,179.83157894736843,39.752631578947366,739.7894736842105,15.36842105263158,13.236842105263158,11.126315789473685,45.06315789473685,20.77894736842105
Vermont,,,,67.1%,84.5%,17.0%,29.31052631578948,177.67368421052632,176.18947368421053,43.68421052631579,740.3210526315789,12.257894736842106,14.415789473684208,6.684210526315789,46.1578947368421,22.721052631578942
Nevada,6.756749541946957,418.11169553592,2488.0084009116003,45.1%,84.1%,16.0%,18.30526315789474,180.8894736842105,220.32105263157897,42.8,836.5315789473684,21.11578947368421,19.41578947368421,17.778947368421054,56.1,15.236842105263158
Hawaii,2.5459935175533235,207.28148359668,2573.7969240346797,53.3%,85.2%,17.0%,13.394736842105264,144.0578947368421,155.43157894736842,30.931578947368426,623.8052631578947,19.621052631578948,11.473684210526317,11.236842105263158,19.51052631578948,16.13684210526316
Utah,6.911595168518514,811.49038873572,6158.43864300504,54.5%,87.4%,26.0%,24.394736842105264,134.52105263157895,162.76315789473685,38.54210526315789,734.9368421052632,19.92105263157895,17.973684210526315,12.642105263157896,33.60526315789474,27.28421052631579
Nebraska,4.273206321646489,451.5140484067199,3018.02425574712,60.7%,88.4%,18.0%,23.34210526315789,170.7421052631579,172.70000000000002,37.15263157894736,750.9157894736842,16.473684210526315,11.273684210526316,12.168421052631578,48.4,22.05263157894737
Georgia,23.79421489014735,643.52850436164,4020.13761410712,42.6%,82.0%,22.0%,29.115789473684213,181.01052631578943,216.0736842105263,42.61578947368421,874.5368421052632,20.64210526315789,11.61578947368421,20.23157894736842,46.77894736842105,21.94210526315789
Texas,7.96860195103007,559.73514773232,2928.3854221104,54.9%,90.0%,25.0%,27.378947368421056,171.00526315789477,204.8736842105263,39.189473684210526,803.1526315789473,17.18421052631579,11.363157894736842,15.305263157894736,42.97894736842105,25.64210526315789
Montana,,,,47.3%,86.6%,25.0%,22.41578947368421,170.7736842105263,170.57894736842104,54.857894736842105,786.1,16.80526315789474,21.57894736842105,10.505263157894737,54.16842105263158,22.321052631578947
Tennessee,17.86658049012054,1160.62793923152,4150.64501471832,50.7%,90.5%,16.0%,34.10526315789474,198.32631578947368,236.9578947368421,52.98947368421052,924.3368421052631,24.96315789473684,14.25263157894737,12.994736842105263,52.57368421052632,26.894736842105264
Florida,5.98077452842499,746.6906380941599,8021.66852735196,56.1%,87.2%,19.0%,18.1,169.01052631578946,183.3684210526316,44.01578947368421,726.5947368421052,11.305263157894736,13.468421052631578,10.74736842105263,39.642105263157895,20.73684210526316
Missouri,24.960769886029713,954.21253761372,3886.349987778001,56.5%,89.7%,19.0%,24.83157894736842,189.4842105263158,227.3421052631579,48.36315789473685,853.8000000000001,20.931578947368426,14.26842105263158,18.010526315789473,50.2,22.48421052631579
Delaware,,,,65.3%,89.0%,21.0%,20.14736842105264,188.51052631578943,203.7526315789474,40.05789473684211,799.7105263157895,16.468421052631577,11.447368421052632,15.484210526315788,42.38947368421052,22.36842105263158
South Dakota,4.473465638564853,551.97595462512,3214.53299752512,51.5%,84.1%,27.0%,29.831578947368417,172.30526315789476,178.4578947368421,47.3,742.9,19.06842105263157,16.057894736842105,8.647368421052633,43.83157894736842,23.894736842105264
Mississippi,3.750515695908187,218.78008226124,2913.9006613408797,51.9%,85.0%,19.0%,29.657894736842103,204.42105263157896,277.13157894736844,58.71052631578947,987.6789473684212,23.77894736842105,12.710526315789474,23.00526315789474,52.33684210526316,27.605263157894736
Connecticut,5.855876620318855,279.15217493424,1996.10402242476,68.0%,88.5%,22.0%,16.352631578947367,166.6578947368421,175.9421052631579,36.17894736842105,696.2631578947369,16.778947368421054,8.75263157894737,13.15263157894737,33.66315789473684,16.38421052631579
Minnesota,6.046123178468807,458.87161130268,2929.85659397112,64.9%,83.7%,16.0%,23.68421052631579,168.1157894736842,137.4105263157895,38.02105263157895,687.1157894736842,12.61578947368421,11.13157894736842,11.989473684210529,36.55789473684211,21.057894736842105
South Carolina,,,,61.9%,81.1%,21.0%,33.55263157894737,188.4,208.19473684210524,50.84736842105264,885.2368421052631,17.521052631578947,12.821052631578947,17.31578947368421,47.05263157894737,25.257894736842104
Rhode Island,3.948502240194359,271.94894420688,1917.44577694404,71.1%,83.9%,18.0%,22.1,180.7,196.35789473684213,37.78421052631579,748.3473684210527,17.431578947368422,9.405263157894735,11.142105263157896,37.7578947368421,18.78421052631579
Colorado,7.091734821954361,643.62411819372,3725.694882278041,54.1%,81.1%,25.0%,28.9,152.7526315789474,150.62105263157895,45.16315789473684,718.6947368421053,15.668421052631578,17.405263157894737,10.289473684210526,50.01578947368421,17.19473684210526
